name,address,rating,reviews,website,lat,lng,category,no_website
Belleville,"Belleville, 75020 Paris, France",,,,48.8728179,2.389461,"neighborhood, political",True
Ménilmontant,"Ménilmontant, Paris, France",,,,48.8699788,2.3946146,"neighborhood, political",True
La Chapelle,"La Chapelle, Paris, France",,,,48.8932384,2.3634289,"neighborhood, political",True
Boulevard Barbès,"Bd Barbès, Paris, France",4.0,217.0,,48.8877233,2.3496431,route,True
Porte de Clignancourt,"75018 Paris, France",3.3,64.0,,48.897815,2.3448825,"establishment, point_of_interest, transit_station",True
Porte d'Aubervilliers,"Porte d'Aubervilliers, Paris, France",,,,48.89945489999999,2.3702026,"neighborhood, political",True
Sacrée Fleur Montmartre,"50 Rue de Clignancourt, 75018 Paris, France",4.8,3540.0,http://www.sacreefleur.fr/,48.8876187,2.3479882,"establishment, food, point_of_interest, restaurant",False
Le Poulbot,"3 Rue Poulbot, 75018 Paris, France",4.7,6437.0,https://lepoulbot.com/,48.8869276,2.339969200000001,"establishment, food, point_of_interest, restaurant",False
La Couvée Montmartre,"32 Rue Véron, 75018 Paris, France",4.7,1104.0,https://lacouveemontmartre.com/,48.88499239999999,2.3356595,"establishment, food, point_of_interest, restaurant",False
L'Almanach Montmartre,"35 Rue Ramey, 75018 Paris, France",4.8,1101.0,http://almanach-montmartre.fr/,48.8890556,2.3463113,"establishment, food, point_of_interest, restaurant",False
La Taverne de Montmartre,"25 Rue Gabrielle, 75018 Paris, France",4.6,2470.0,https://fr-fr.facebook.com/pages/La-Taverne-de-Montmartre/158042090888080,48.8857735,2.340414,"establishment, food, point_of_interest, restaurant",False
L'Atelier Ramey,"23 Rue Ramey, 75018 Paris, France",4.8,1319.0,http://www.atelier-ramey.com/,48.8882962,2.3467252,"establishment, food, point_of_interest, restaurant",False
Chantoiseau,"63 Rue Lepic, 75018 Paris, France",4.8,1152.0,http://www.chantoiseau-paris.fr/,48.8877673,2.3347259,"establishment, food, point_of_interest, restaurant",False
